track_id,initial_morphology,final_morphology,morphology_label,num_transitions,formation_frame,dissolution_frame,lifetime_frames,lifetime_minutes,max_length,mean_intensity_avg
1,filament,filament,filament,0,0,1,2,28.8,23.1463807140098,0.6126572143751265
2,filament,filament,filament,0,1,4,4,57.6,27.99956806206491,0.5347285517143653
4,filament,filament,filament,0,4,8,5,72.0,29.313443814738473,0.4467261170133046
5,filament,filament,filament,0,6,20,15,216.0,26.684991298236785,0.5059740039062889
6,filament,filament,filament,0,9,10,2,28.8,18.89618801538601,0.428809722852533
8,filament,filament,filament,0,12,18,7,100.8,24.961246007015735,0.5972038232311897
9,filament,filament,filament,0,22,23,2,28.8,23.69733546738518,0.6740404455402822
11,filament,filament,filament,0,29,32,4,57.6,23.438357098394473,0.5647198637888345
12,filament,filament,filament,0,31,33,3,43.2,22.33840100651288,0.6413792789468036
13,filament,filament,filament,0,38,41,4,57.6,22.65480686508426,0.619413692038212
14,filament,filament,filament,0,43,45,3,43.2,23.28736092606873,0.6084050527383027
16,filament,filament,filament,0,47,48,2,28.8,23.2744857762516,0.6246995005193011
18,filament,filament,filament,0,51,59,9,129.6,24.391664307803016,0.592915514369924
19,filament,filament,filament,0,52,56,5,72.0,24.504080689273746,0.6295324406434806
21,filament,filament,filament,0,61,66,6,86.4,23.62698375451813,0.6039201537540457
22,filament,filament,filament,0,68,72,5,72.0,11.318495019772504,0.6066829609711524
24,filament,filament,filament,0,80,81,2,28.8,20.83849523762647,0.6275769168789012
